country,country_code,capital,currency_full,currency_code,,,
afghanistan,afg,kabul,afghani,afn,,,
albania,alb,tirana,lek,all,,,
algeria,dza,algiers,algerian dinar,dzd,,,
american samoa,asm,pago pago,us dollar,usd,,,
andorra,and,andorra la vella,euro,eur,,,                  
angola,ago,luanda,kwanza,aoa,,,
anguilla,aia,the valley,east caribbean dollar,xcd,,,
antigua and barbuda,atg,st john's,east caribbean dollar,xcd,,,
argentina,arg,buenos aires,argentine peso,ars,,,
armenia,arm,yerevan,armenian dram,amd,,,
aruba,abw,oranjestad,aruban florin,awg,,,
australia,aus,canberra,australian dollar,aud,,,
austria,aut,vienna,euro,eur,,,
azerbaijan,aze,baku,azerbaijan manat,azn,,,
the bahamas,bhs,nassau,bahamian dollar,bsd,,,
bahrain,bhr,manama,bahraini dinar,bhd,,,
bangladesh,bgd,dhaka,taka,bdt,,,
barbados,brb,bridgetown,barbados dollar,bbd,,,
belarus,blr,minsk,belarusian ruble,byn,,,
belgium,bel,brussels,euro,eur,,,
belize,blz,belmopan,belize dollar,bzd,,,
benin,ben,porto novo,cfa franc bceao,xof,,,
bermuda,bmu,hamilton,bermudian dollar,bmd,,,
bhutan,btn,thimphu,indian rupee,btn,,,
bolivia,bol,sucre,boliviano,bob,,,
bosnia and herzegovina,bih,sarajevo,convertible mark,bam,,,
botswana,bwa,gaborone,pula,bwp,,,
bouvet island,bvt,-,norwegian krone,nok,,,
brazil,bra,brasilia,brazilian real,brl,,,
british virgin islands,vgb,road town,us dollar,usd,,,
brunei,brn,bandar seri begawan,brunei dollar,bnd,,,
bulgaria,bgr,sofia,bulgarian lev,bgn,,,
burkina faso,bfa,ouagadougou,cfa franc bceao,xof,,,
burundi,bdi,bujumbura,burundi franc,bif,,,
cambodia,khm,phnom penh,riel,khr,,,
cameroon,cmr,yaound,cfa franc beac,xaf,,,
canada,can,ottawa,canadian dollar,cad,,,
cape verde,cpv,praia,cape verde escudo,cve,,,
cayman islands,cym,george town,cayman islands dollar,kyd,,,
central african republic,caf,bangui,cfa franc,xaf,,,
chad,tcd,n'djamena,cfa franc beac,xaf,,,
chile,chl,santiago,chilean peso,clp,,,
china,chn,beijing,yuan renminbi,cny,,,
hong kong,hkg,victoria city,hong kong dollar,hkd,,,
macau,mac,macau,pataca,mop,,,
christmas island,cxr,flying fish cove,australian dollar,aud,,,
cocos islands,cck,bantam,australian dollar,aud,,,
colombia,col,santa fe de bogot,colombian peso,cop,,,
comoros,com,moroni,comorian franc,kmf,,,
congo,cog,brazzaville,cfa franc,xaf,,,
democratic republic of the congo,cod,kinshasa,congolese franc,cdf,,,
cook islands,cok,avarua,new zealand dollar,nzd,,,
costa rica,cri,san jos,costa rican colon,crc,,,
cote divoire,civ,yamoussoukro,cfa franc bceao,xof,,,
croatia,hrv,zagreb,kuna,hrk,,,
cuba,cub,havana,cuban peso,cup,,,
cyprus,cyp,nicosia,euro,eur,,,
czech republic,cze,prague,czech koruna (pl. koruny),czk,,,
denmark,dnk,copenhagen,danish krone,dkk,,,
djibouti,dji,djibouti,djibouti franc,djf,,,
dominica,dma,roseau,east caribbean dollar,xcd,,,
dominican republic,dom,santo domingo,dominican peso,dop,,,
ecuador,ecu,quito,us dollar,usd,,,
egypt,egy,cairo,egyptian pound,egp,,,
el salvador,slv,san salvador,el salvador colon,svc,,,
equatorial guinea,gnq,malabo,cfa franc beac,xaf,,,
eritrea,eri,asmara,nakfa,ern,,,
estonia,est,tallinn,euro,eur,,,
ethiopia,eth,addis ababa,ethiopian birr,etb,,,
falkland islands,flk,stanley,falkland islands pound,fkp,,,
faeroe islands,fro,thorshavn,danish krone (pl. kroner),dkk,,,
fiji,fji,suva,fiji dollar,fjd,,,
finland,fin,helsinki,euro,eur,,,
france,fra,paris,euro,eur,,,
french guiana,guf,cayenne,euro,eur,,,
french polynesia,pyf,papeete,cfp franc,xpf,,,
gabon,gab,libreville,cfa franc beac,xaf,,,
the gambia,gmb,banjul,dalasi (inv.),gmd,,,
georgia,geo,tbilisi,lari,gel,,,
germany,deu,berlin,euro,eur,,,
ghana,gha,accra,ghana cedi,ghs,,,
gibraltar,gib,gibraltar,gibraltar pound,gip,,,
greece,grc,athens,euro,eur,,,
greenland,grl,nuuk,danish krone,dkk,,,
grenada,grd,st george's,east caribbean dollar,xcd,,,
guadeloupe,glp,basse terre,euro,eur,,,
guam,gum,hagtana,us dollar,usd,,,
guatemala,gtm,guatemala city,quetzal,gtq,,,
guinea,gin,conakry,guinean franc,gnf,,,
guinea bissau,gnb,bissau,cfa franc bceao,xof,,,
guyana,guy,georgetown,guyana dollar,gyd,,,
haiti,hti,port-au-prince,gourde,htg,,,
vatican city ,vat,vatican city,euro,eur,,,
honduras,hnd,tegucigalpa,lempira,hnl,,,
hungary,hun,budapest,forint,huf,,,
iceland,isl,reykjavik,iceland krona,isk,,,
india,ind,new delhi,indian rupee,inr,,,
indonesia,idn,jakarta,rupiah,idr,,,
iran,irn,tehran,iranian rial,irr,,,
iraq,irq,baghdad,iraqi dinar,iqd,,,
ireland,irl,dublin,euro,eur,,,
israel,isr,jerusalem,new israeli sheqel,ils,,,
italy,ita,rome,euro,eur,,,
jamaica,jam,kingston,jamaican dollar,jmd,,,
japan,jpn,tokyo,yen,jpy,,,
jordan,jor,amman,jordanian dinar,jod,,,
kazakhstan,kaz,astana,tenge,kzt,,,
kenya,ken,nairobi,kenyan shilling,kes,,,
kiribati,kir,tarawa,australian dollar,aud,,,
north korea,prk,pyongyang,north korean won (inv.),kpw,,,
south korea,kor,seoul,south korean won (inv.),krw,,,
kuwait,kwt,kuwait city,kuwaiti dinar,kwd,,,
kyrgyzstan,kgz,bishkek,som,kgs,,,
laos,lao,vientiane,kip (inv.),lak,,,
latvia,lva,riga,euro,eur,,,
lebanon,lbn,beirut,lebanese pound,lbp,,,
lesotho,lso,maseru,loti,lsl,,,
liberia,lbr,monrovia,liberian dollar,lrd,,,
libya,lby,tripoli,libyan dinar,lyd,,,
liechtenstein,lie,vaduz,swiss franc,chf,,,
lithuania,ltu,vilnius,euro,eur,,,
luxembourg,lux,luxembourg,euro,eur,,,
former yugoslav republic of macedonia,mkd,skopje,denar (inv.),mkd,,,
madagascar,mdg,antananarivo,malagasy ariary,mga,,,
malawi,mwi,lilongwe,malawi kwacha,mwk,,,
malaysia,mys,kuala lumpur,malaysian ringgit,myr,,,
maldives,mdv,male,rufiyaa,mvr,,,
mali,mli,bamako,cfa franc bceao,xof,,,
malta,mlt,valletta,euro,eur,,,
marshall islands,mhl,majuro,us dollar,usd,,,
martinique,mtq,fort-de-france,euro,eur,,,
mauritania,mrt,nouakchott,ouguiya,mro,,,
mauritius,mus,port louis,mauritius rupee,mur,,,
mayotte,myt,mamoudzou,euro,eur,,,
mexico,mex,mexico city,mexican peso,mxn,,,
micronesia,fsm,palikir,us dollar,usd,,,
moldova,mda,chisinau,moldovan leu (pl. lei),mdl,,,
monaco,mco,monaco,euro,eur,,,
mongolia,mng,ulan bator,tugrik,mnt,,,
montserrat,msr,plymouth,east caribbean dollar,xcd,,,
morocco,mar,rabat,moroccan dirham,mad,,,
mozambique,moz,maputo,mozambique metical,mzn,,,
myanmar,mmr,yangon,kyat,mmk,,,
namibia,nam,windhoek,namibia dollar,nad,,,
nauru,nru,yaren,australian dollar,aud,,,
nepal,npl,kathmandu,nepalese rupee,npr,,,
netherlands,nld,amsterdam,euro,eur,,,
netherlands antilles,ant,willemstad,netherlands antillean guilder,ang,,,
new caledonia,ncl,noumea,cfp franc,xpf,,,
new zealand,nzl,wellington,new zealand dollar,nzd,,,
nicaragua,nic,managua,cordoba oro,nio,,,
niger,ner,niamey,cfa franc,xof,,,
nigeria,nga,abuja,naira,ngn,,,
niue,niu,alofi,new zealand dollar,nzd,,,
norfolk island,nfk,kingston,australian dollar,aud,,,
northern marianas,mnp,garapan,us dollar,usd,,,
norway,nor,oslo,norwegian krone,nok,,,
oman,omn,muscat,rial omani,omr,,,
pakistan,pak,islamabad,pakistan rupee,pkr,,,
palau,plw,koror,us dollar,usd,,,
panama,pan,panama city,balboa,pab,,,
papua new guinea,png,port moresby,kina,pgk,,,
paraguay,pry,asuncion,guarani,pyg,,,
peru,per,lima,sol,pen,,,
philippines,phl,manila,philippine peso,php,,,
pitcairn islands,pcn,adamstown,new zealand dollar,nzd,,,
poland,pol,warsaw,zloty,pln,,,
portugal,prt,lisbon,euro,eur,,,
puerto rico,pri,san juan,us dollar,usd,,,
qatar,qat,doha,qatari rial,qar,,,
reunion,reu,saint-denis,euro,eur,,,
romania,rou,bucharest,romanian leu,ron,,,
russia,rus,moscow,rouble,rub,,,
rwanda,rwa,kigali,rwanda franc,rwf,,,
saint helena,shn,jamestown,saint helena pound,shp,,,
saint kitts and nevis,kna,basseterre,east caribbean dollar,xcd,,,
saint lucia,lca,castries,east caribbean dollar,xcd,,,
saint pierre and miquelon,spm,saint-pierre,euro,eur,,,
saint vincent and the grenadines,vct,kingstown,eastern caribbean dollar,xcd,,,
samoa,wsm,apia,tala,wst,,,
san marino,smr,san marino,euro,eur,,,
sao tome and principle,stp,sao tome & principe dobra,dobra,std,,,
saudi arabia,sau,riyadh,saudi riyal,sar,,,
senegal,sen,dakar,cfa franc bceao,xof,,,
serbia,srb,belgrade,serbian dinar,rsd,,,
seychelles,syc,victoria,seychelles rupee,scr,,,
sierra leone,sle,freetown,leone,sll,,,
singapore,sgp,singapore,singapore dollar,sgd,,,
slovakia,svk,bratislava,euro,eur,,,
slovenia,svn,ljubljana,euro,eur,,,
solomon islands,slb,honiara,solomon islands dollar,sbd,,,
somalia,som,mogadishu,somali shilling,sos,,,
south africa,zaf,pretoria,rand,zar,,,
south sudan,ssd,juba,south sudanese pound,ssp,,,
spain,esp,madrid,euro,eur,,,
sri lanka,lka,colombo,sri lanka rupee,lkr,,,
sudan,sdn,khartoum,sudanese dinar,sdd,,,
suriname,sur,paramaribo,surinam dollar,srd,,,
svalbard and jan mayen,sjm,longyearbyen,norwegian krone (pl. kroner),nok,,,
swaziland,swz,mbabane,lilangeni,szl,,,
sweden,swe,stockholm,swedish krona,sek,,,
switzerland,che,berne,swiss franc,chf,,,
syria,syr,damascus,syrian pound,syp,,,
taiwan,twn,taipei,new taiwan dollar,twd,,,
tajikistan,tjk,dushanbe,somoni,tjs,,,
tanzania,tza,dodoma,tanzanian shilling,tzs,,,
thailand,tha,bangkok,baht,thb,,,
timor leste,tls,dili,us dollar,usd,,,
togo,tgo,lome,cfa franc bceao,xof,,,
tokelau,tkl,fakaofo,new zealand dollar,nzd,,,
tonga,ton,nuku'alofa,pa__anga,top,,,
trinidad and tobago,tto,port of spain,trinidad and tobago dollar,ttd,,,
tunisia,tun,tunis,tunisian dinar,tnd,,,
turkey,tur,ankara,turkish lira,try,,,
turkmenistan,tkm,ashgabat,turkmenistan new manat,tmt,,,
turks and caicos islands,tca,cockburn town,us dollar,usd,,,
tuvalu,tuv,fongafale,australian dollar,aud,,,
uganda,uga,kampala,uganda shilling,ugx,,,
ukraine,ukr,kiev,hryvnia,uah,,,
united arab emirates,are,abu dhabi,uae dirham,aed,,,
united kingdom,gbr,london,pound sterling,gbp,,,
united states,usa,washington dc,us dollar,usd,,,
uruguay,ury,montevideo,peso uruguayo,uyu,,,
uzbekistan,uzb,tashkent,uzbekistan sum,uzs,,,
vanuatu,vut,port vila,vatu,vuv,,,
venezuela,ven,caracas,bolivar,veb,,,
vietnam,vnm,hanoi,dong,vnd,,,
us virgin islands,vir,charlotte amalie,us dollar,usd,,,
wallis and futuna,wlf,mata-utu,cfp franc,xpf,,,
western sahara,esh,al aaiun,moroccan dirham,mad,,,
yemen,yem,san'a,yemeni rial,yer,,,
zambia,zmb,lusaka,zambian kwacha,zmw,,,
zimbabwe,zwe,harare,zimbabwe dollar,zwl,,,
